Channels,Total,,,,,,,,1 of 8: AMAZON-B2B,,,,,,,,2 of 8: FLIPKART-B2B,,,,,,,,3 of 8: MEESHO B2C,,,,,,,,4 of 8: SHOPSY B2C,,,,,,,,5 of 8: FK MP B2C,,,,,,,,Combined FK B2C,,,,,,,,6 of 8: Amazon Bazaar & B2C,,,,,,,,7 of 8: JioMart B2C,,,,,,,,8 of 8: Blinkit B2B,,,,,,,,
Day,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share
11-Dec,"19,52,678",3749,5613,"3,06,073",521,15.70%,-23.40%,"","5,98,902",1221,2227,"68,546",491,11.40%,-4.80%,30.70%,"8,43,966",1314,1719,"1,95,700",642,23.20%,-40.00%,43.20%,"3,76,820",813,1169,"7,250",463,1.90%,-5.60%,19.30%,"92,525",326,355,"3,795",284,4.10%,7.80%,4.70%,"22,316",44,103,"369",507,1.70%,96.30%,1.10%,"1,14,841",370,458,"4,164",310,3.60%,18.20%,5.90%,"1,038",2,2,"-",519,0.00%,#DIV/0!,0.10%,"17,111",29,38,"-",590,0.00%,6.70%,0.90%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
12-Dec,"20,59,892",3809,5845,"3,02,389",541,14.70%,5.50%,"","5,59,726",1129,2133,"53,838",496,9.60%,-6.50%,27.20%,"10,04,233",1407,2092,"2,02,300",714,20.10%,19.00%,48.80%,"3,58,334",825,1112,"5,833",434,1.60%,-4.90%,17.40%,"98,966",365,399,"3,039",271,3.10%,7.00%,4.80%,"17,169",49,65,"296",350,1.70%,-23.10%,0.80%,"1,16,135",414,464,"3,335",281,2.90%,1.10%,5.60%,"2,997",1,3,"-",2997,0.00%,188.70%,0.10%,"18,467",33,41,"-",560,0.00%,7.90%,0.90%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
13-Dec,"20,54,696",3650,5597,"2,58,702",563,12.60%,-0.30%,"","4,72,488",943,1637,"224",501,0.00%,-15.60%,23.00%,"11,19,882",1478,2360,"1,95,400",758,17.40%,11.50%,54.50%,"3,25,795",751,1041,"6,010",434,1.80%,-9.10%,15.90%,"1,00,504",403,432,"3,767",249,3.70%,1.60%,4.90%,"25,160",52,103,"290",484,1.20%,46.50%,1.20%,"1,25,664",455,535,"4,057",276,3.20%,8.20%,6.10%,"1,577",3,3,"-",526,0.00%,-47.40%,0.10%,"9,290",20,21,"-",465,0.00%,-49.70%,0.50%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
14-Dec,"19,29,847",3423,5510,"1,68,595",564,8.70%,-6.10%,"","4,81,451",901,1815,"22",534,0.00%,1.90%,24.90%,"9,81,890",1310,2065,"1,10,200",750,11.20%,-12.30%,50.90%,"3,35,703",755,1096,"5,056",445,1.50%,3.00%,17.40%,"92,729",379,402,"3,607",245,3.90%,-7.70%,4.80%,"17,298",44,86,"295",393,1.70%,-31.20%,0.90%,"1,10,027",423,488,"3,902",260,3.50%,-12.40%,5.70%,"1,038",2,2,"-",519,0.00%,-34.20%,0.10%,"19,738",32,44,"-",617,0.00%,112.50%,1.00%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
15-Dec,"21,28,390",3789,5830,"2,53,054",562,11.90%,10.30%,"","5,04,267",987,1856,"25,374",511,5.00%,4.70%,23.70%,"11,62,433",1607,2428,"1,74,700",723,15.00%,18.40%,54.60%,"3,53,080",846,1123,"7,912",417,2.20%,5.20%,16.60%,"70,019",270,290,"3,768",259,5.40%,-24.50%,3.30%,"19,406",44,90,"385",441,2.00%,12.20%,0.90%,"89,425",314,380,"4,153",285,4.60%,-18.70%,4.20%,"998",2,2,"-",499,0.00%,-3.90%,0.00%,"18,187",33,41,"-",551,0.00%,-7.90%,0.90%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
16-Dec,"21,09,191",4045,6279,"3,07,479",521,14.60%,-0.90%,"","5,30,617",1131,2434,"39,126",469,7.40%,5.20%,25.20%,"11,14,815",1785,2256,"2,05,300",625,18.40%,-4.10%,52.90%,"3,65,693",841,1196,"4,757",435,1.30%,3.60%,17.30%,"65,524",231,269,"4,201",284,6.40%,-6.40%,3.10%,"17,690",30,93,"228",590,1.30%,-8.80%,0.80%,"83,214",261,362,"4,429",319,5.30%,-6.90%,3.90%,"1,996",3,3,"-",665,0.00%,100.00%,0.10%,"12,856",24,28,"-",536,0.00%,-29.30%,0.60%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
17-Dec,"18,14,626",3478,5567,"3,06,277",522,16.90%,-14.00%,"","5,61,510",1124,2353,"55,814",500,9.90%,5.80%,30.90%,"7,55,547",1213,1528,"1,86,090",623,24.60%,-32.20%,41.60%,"3,77,623",836,1241,"5,053",452,1.30%,3.30%,20.80%,"62,510",219,243,"3,484",285,5.60%,-4.60%,3.40%,"28,461",42,141,"368",678,1.30%,60.90%,1.60%,"90,971",261,384,"3,852",349,4.20%,9.30%,5.00%,"1,996",3,3,"-",665,0.00%,0.00%,0.10%,"26,979",41,58,"-",658,0.00%,109.90%,1.50%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
18-Dec,"18,64,336",3698,6065,"2,85,618",504,15.30%,2.70%,"","5,86,450",1202,2775,"61,118",488,10.40%,4.40%,31.50%,"7,76,350",1250,1569,"1,56,280",621,20.10%,2.80%,41.60%,"3,75,959",899,1237,"5,330",418,1.40%,-0.40%,20.20%,"77,804",262,301,"2,668",297,3.40%,24.50%,4.20%,"29,094",54,142,"472",539,1.60%,2.20%,1.60%,"1,06,898",316,443,"3,140",338,2.90%,17.50%,5.70%,"2,036",4,4,"-",509,0.00%,2.00%,0.10%,"16,643",27,37,"-",616,0.00%,-38.30%,0.90%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
19-Dec,"18,07,796",3583,5693,"2,27,702",505,12.60%,-3.00%,"","5,60,853",1137,2446,"58,813",493,10.50%,-4.40%,31.00%,"7,30,777",1183,1475,"1,06,070",618,14.50%,-5.90%,40.40%,"4,03,904",929,1343,"5,647",435,1.40%,7.40%,22.30%,"73,734",268,298,"2,766",275,3.80%,-5.20%,4.10%,"18,161",33,84,"334",550,1.80%,-37.60%,1.00%,"91,895",301,382,"3,100",305,3.40%,-14.00%,5.10%,-,-,-,-,#DIV/0!,#DIV/0!,-100.00%,0.00%,"20,367",33,47,"-",617,0.00%,22.40%,1.10%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
20-Dec,"18,02,197",3522,5779,"2,91,561",512,16.20%,-0.30%,"","5,85,991",1174,2678,"68,218",499,11.60%,4.50%,32.50%,"7,38,919",1201,1490,"1,43,220",615,19.40%,1.10%,41.00%,"3,57,519",806,1169,"5,730",444,1.60%,-11.50%,19.80%,"73,415",252,282,"1,778",291,2.40%,-0.40%,4.10%,"24,711",52,115,"112",475,0.50%,36.10%,1.40%,"98,126",304,397,"1,890",323,1.90%,6.80%,5.40%,"1,577",2,2,"-",789,0.00%,#DIV/0!,0.10%,"20,065",35,43,"-",573,0.00%,-1.50%,1.10%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
